,Clinopyroxene NBPP22,Orthopyroxene LAPP47B,Fayalite LAPO05,Forsterite LASC02,Hematite GDS27,Plagioclase NCLS04,Alunite F1CC08B,Bassanite GDS145,Gypsum LASF41A,Jarosite LASF21A,Kieserite F1CC15,Mg-sulphate 799F366,Chlorite LACL14,Kaolinite LAKA04,Illite LAIL02,Margarite GDS106,Vermiculite c1cy29,Serpentine LALZ01,Montmorillonite LAMO02,Nontronite NCJB26,Saponite LASA58,Talc GDS23,Calcite CAGR01,Magnesite F1CC06B,Halite HS433,Prehnite LAZE03,Siliceous-sinter bkr1jb329c,Epidote GDS26,Analcime GDS1
Category,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,iron oxides & primary silicates,sulfates,sulfates,sulfates,sulfates,sulfates,sulfates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,carbonates,carbonates,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides,hydrated silicates & halides
Sample ID,NBPP22,LAPP47B,LAPO05,LASC02,GDS27,NCLS04,F1CC08B,GDS145,LASF41A,LASF21A,F1CC15,799F366,LACL14,LAKA04,LAIL02,GDS106,CY-PLH-029,LALZ01,LAMO02,NCJB26,LASA58,GDS23,CAGR01,F1CC06B,HS433,LAZE03,bkr1jb329c,GDS26,GDS1
Species,clinopyroxene,orthopyroxene,fayalite,forsterite,hematite,plagioclase,alunite,bassanite,gypsum,jarosite,kieserite,mg-sulphate,chlorite,kaolinite,illite,margarite,vermiculite,serpentine,montmorillonite,nontronite,saponite,talc,calcite,magnesite,halite,prehnite,siliceous-sinter,epidote,analcime
Subgroup,pyroxenes,pyroxenes,olivines,olivines,hematites,feldspars,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,hydrous_sulphates,chlorites,kaolinites,micas,micas,micas,serpentines,smectites,smectites,smectites,talcs,calcites,calcites,chlorides,prehnites,hydrated-silicas,epidotes,zeolites
Group,inosilicates,inosilicates,nesosilicates,nesosilicates,oxides,tectosilicates,sulphates,sulphates,sulphates,sulphates,sulphates,sulphates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,phyllosilicates,carbonates,carbonates,halides,inosilicates,mineraloids,sorosilicates,tectosilicates
Library,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree,MICA_new_dirtree
Sample Description,,,,,,,,,,,,,,,,,"LLANO,TX",,,,,,,,,,,,
Date Added,,,,,,,,,,,,,,,,,19-Jul-90,,,,,,,,,,,,
Viewing Geometry,,,,,,,,,,,,,,,,,"i=30, e=0",,,,,,,,,,,,
Other Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
